2019-Jun-09 18:10:34 proxyDBManager.py[line:79]/DEBUG/  ===== 成功删除 proxy 表  =====
2019-Jun-09 18:10:34 proxyDBManager.py[line:68]/DEBUG/  ===== 成功创建数据库 proxy 表 =====
2019-Jun-09 18:10:34 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:34 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:34 connectionpool.py[line:205]/DEBUG/  Starting new HTTP connection (1): 127.0.0.1:1081
2019-Jun-09 18:10:34 connectionpool.py[line:393]/DEBUG/  http://127.0.0.1:1081 "GET http://www.xicidaili.com/wt/1 HTTP/1.1" 301 185
2019-Jun-09 18:10:34 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.xicidaili.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:393]/DEBUG/  https://www.xicidaili.com:443 "GET /wt/1 HTTP/1.1" 200 None
2019-Jun-09 18:10:35 xiciSpider.py[line:80]/DEBUG/  抓取 xici 网站共计 50 个代理
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (3): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (4): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:10:35 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
2019-Jun-09 18:10:36 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:10:36 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:10:36 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:10:36 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
